trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
138,-0.6257778257417338,1000.0,975.361280879949,-2.4638719120051,39.841872743963904,3.937295012146963,87,12,28,170,29.0,20,1.2,2.9000000000000004,0.0024000000000000002,16,16,1.9000000000000001,12,31,70,17.0,10,1.7,0.0054
243,-0.6258156904243971,1000.0,942.0639974803953,-5.7936002519604735,95.19879420429538,9.257678164047855,358,38,12,170,21.0,18,1.0,3.0,0.001,24,40,2.0,14,33,59,18.0,17,1.2,0.004200000000000001
190,-0.6260156392781541,1000.0,960.2775769285906,-3.9722423071409385,64.71998719904343,6.34527647220004,189,4,26,290,22.0,10,1.8,3.1,0.0033,14,16,1.7000000000000002,18,30,61,13.0,19,2.0,0.0036
76,-0.6302558936930073,1000.0,966.0654691027994,-3.3934530897200554,54.56588175540173,5.384246499998586,382,4,16,260,20.0,14,1.0,1.9000000000000001,0.0018,10,22,2.1,15,34,60,13.0,18,1.8,0.005600000000000001
0,-0.6345329844496767,1000.0,985.1773623348809,-1.4822637665119154,23.447983147788023,2.3359916707836175,127,1,16,120,29.0,14,1.3,2.5,0.0012000000000000001,12,34,2.4000000000000004,11,37,64,10.0,10,1.3,0.0032
36,-0.6383624416133447,1000.0,959.0131658582072,-4.098683414179272,65.72035037648357,6.420621181629353,254,49,24,210,21.0,13,1.2,1.8,0.0009000000000000001,16,28,2.5,11,35,64,20.0,19,1.5,0.0064
169,-0.6391907531126376,1000.0,930.6255520403733,-6.937444795962666,111.29889231872642,10.853481159074521,251,69,24,190,20.0,17,1.2,3.2,0.0031,28,24,2.2,18,42,65,22.0,18,2.4000000000000004,0.006200000000000001
17,-0.6459536532147857,1000.0,966.8614692605261,-3.3138530739473926,51.77279926615233,5.130171580352538,195,3,30,150,21.0,13,1.3,3.5,0.0022,14,26,1.8,14,35,61,11.0,17,2.4000000000000004,0.0074
219,-0.6462155784182441,1000.0,940.314923060392,-5.968507693960801,93.23739963704077,9.236093794844821,217,42,12,260,26.0,13,1.6,2.1,0.0031,30,38,1.9000000000000001,14,41,58,17.0,14,1.7,0.0074
193,-0.6582098616890609,1000.0,947.3320338714955,-5.266796612850455,80.59694385420016,8.001698120011602,108,99,16,280,32.0,10,1.3,2.4000000000000004,0.0035,28,28,2.0,10,42,59,20.0,14,2.6,0.0054
143,-0.6587549833702127,1000.0,896.5949372479993,-10.340506275200067,162.19717160994287,15.697044479720956,315,13,30,300,18.0,10,1.1,1.9000000000000001,0.0028,28,22,2.6,13,40,67,16.0,19,2.2,0.002
250,-0.6594105504897811,1000.0,966.4912582329549,-3.3508741767045103,50.953844733852634,5.0816205082184815,154,0,12,180,31.0,15,1.2,2.0,0.003,16,24,2.2,18,28,68,14.0,14,2.5,0.003
58,-0.6634913789609728,1000.0,961.2173557772956,-3.87826442227045,58.587100041328085,5.845237097645203,361,8,12,160,20.0,19,1.4,2.0,0.0015,12,30,2.2,19,37,70,19.0,13,2.4000000000000004,0.0052
288,-0.6644788323944815,1000.0,959.6853407254769,-4.031465927452316,61.21966186070631,6.06710963677313,128,14,18,280,30.0,13,1.0,3.0,0.0029000000000000002,20,34,1.8,10,38,65,14.0,14,2.6,0.0046
188,-0.6685424518525471,1000.0,972.9015922090302,-2.7098407790969725,40.65874093672187,4.053356330010067,161,1,12,140,31.0,20,1.0,1.8,0.0021000000000000003,14,40,2.6,13,29,69,12.0,10,1.5,0.0052
205,-0.6690020295713095,1000.0,950.2471869832245,-4.975281301677548,75.2368084099503,7.436870266097194,124,12,18,250,30.0,16,1.1,3.2,0.0027,24,32,2.2,18,36,72,21.0,16,2.0,0.0022
121,-0.6704377934107453,1000.0,970.7627520102448,-2.9237247989755244,43.85901127801435,4.360918832009069,304,31,16,210,19.0,12,1.4,3.2,0.0024000000000000002,14,40,2.2,11,42,61,17.0,15,2.6,0.002
114,-0.6719804676657868,1000.0,948.9642284519928,-5.10357715480072,76.93010580691714,7.594829612427087,258,6,14,220,19.0,18,2.0,3.0,0.0017000000000000001,18,36,2.6,19,41,60,15.0,11,2.1,0.006200000000000001
122,-0.6723197812369677,1000.0,982.7404466530124,-1.7259553346987588,25.875716115478667,2.5671642912592274,106,2,36,130,24.0,18,1.5,2.5,0.002,12,24,1.9000000000000001,10,33,72,11.0,20,1.7,0.007
274,-0.6741743563336713,1000.0,968.3246589028972,-3.1675341097102794,47.24540254762826,4.698390082553899,114,0,18,150,30.0,17,1.2,2.3,0.0014000000000000002,16,18,1.6,16,29,68,16.0,13,2.5,0.006
67,-0.6773774192787196,1000.0,941.7118315119772,-5.828816848802287,86.91333194875915,8.604976609655644,182,1,12,180,26.0,15,1.9,3.3,0.0028,24,38,1.6,13,32,66,12.0,14,1.9,0.0076
265,-0.677477907965392,1000.0,959.901206726574,-4.0098793273426026,60.31147939236166,5.918834075911213,56,37,32,200,30.0,11,2.1,1.8,0.0009000000000000001,22,28,2.2,12,42,64,17.0,16,1.7,0.0054
241,-0.6781711578116046,1000.0,979.1872319411538,-2.0812768058846243,30.749885079193177,3.068955059369837,153,0,16,190,29.0,18,1.0,1.9000000000000001,0.0035,10,20,1.6,17,33,64,12.0,12,2.6,0.008
228,-0.6795177284106059,1000.0,973.6234861177705,-2.63765138822295,38.8935846305701,3.881652056955784,181,68,28,190,24.0,20,1.1,2.1,0.0008,16,28,1.7000000000000002,12,37,61,18.0,20,1.9,0.002
