side,mode,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
long,mr,1769180400000,1769184000000,126.21594258490245,127.85364999999999,6.579909034258125,10.271206584053083,tp
short,mr,1769533200000,1769536800000,125.55463338882514,124.24414999999999,6.716092811053668,8.300666921115539,tp
long,mr,1769652000000,1769655600000,124.35436612775901,122.82637056660974,7.867688552843312,-12.601608963066013,sl
long,mr,1770649200000,1770652800000,83.45787858004324,85.72565,5.205772319618702,11.537740755722501,tp
long,mr,1770919200000,1770922800000,78.63334142065243,76.98980095081495,5.198142946079583,-8.783480694321526,sl
long,mr,1770948000000,1770951600000,76.91995505485367,79.4331,6.755192093795173,16.654825354550354,tp
short,mr,1771120800000,1771124400000,81.21364669544015,87.3208,8.655841817100518,-53.31605397633844,tp
long,mr,1771351200000,1771354800000,83.84489671040464,85.4582,7.089502914256864,11.074004678398236,tp
long,mr,1771419600000,1771423200000,83.18331653551292,81.83878784566468,7.318345353343648,-10.199079997440192,sl
long,mr,1771434000000,1771437600000,82.5563809756615,81.17905011553725,7.477990326974683,-10.663900539963022,sl
long,mr,1771477200000,1771480800000,81.25541904399151,81.991,9.116680226017369,6.257564919230726,tp
short,mr,1771642800000,1771646400000,85.02860954965138,84.18675,9.425087813765805,7.45851967541821,tp
short,mr,1771678800000,1771682400000,85.26974258611858,86.2587965149998,8.073970764745134,-8.403463107301802,sl
short,mr,1771711200000,1771714800000,86.21000299021212,85.34225,9.65308138337342,7.882200824369025,tp
long,mr,1771801200000,1771804800000,83.2127875605913,82.3525590436353,10.758270473974296,-9.786153717487641,sl
long,mr,1772204400000,1772208000000,83.49620885959224,81.87102336536623,8.165089035387847,-13.670874776494149,sl
